,sim_content,sin_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,stop_word_ratio,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,is_mail,comment_duplication,classifier_val
1746,0.46468523773354553,0.3208585413198461,2.486198709294026,0.0,1,5.434865451118526,0.0,0,0.0,9.86611282596949,1.0,0,0,0,0,0.0,0
1747,0.596277396959236,0.46745436188883194,3.232444841795873,0.1111111111111111,4,6.612096440953884,1.0,1,0.048780487804878,9.85540081458475,5.0,0,0,0,0,0.0,0
1748,0.3706841897739766,0.27569817200960817,2.13926381845669,0.0,1,4.568064377821367,0.0,0,0.0,9.852477984539634,0.0,0,0,0,0,0.0,0
1749,0.5825487330223731,0.3832366097080614,3.166574397048679,0.1111111111111111,1,6.35011855618444,0.0,0,0.0,9.848959334351383,5.0,0,0,0,0,0.0,0
1750,0.36333008366459085,0.34110615768613267,1.9003576164128004,0.0,1,4.202938121821436,0.0,0,0.1428571428571428,9.834527997161741,0.0,0,0,0,0,0.0,0
1751,0.40828130681378055,0.32465310002864267,2.13926381845669,0.0,1,4.773488741708944,0.0,0,0.16819047619047692,9.831426979994518,3.0,0,0,0,0,0.0,0
1752,0.596277396959236,0.46745436188883194,3.232444841795873,0.1111111111111111,4,6.612096440953884,1.0,0,0.074074074074074,9.806302727806427,5.0,0,0,0,0,0.0,0
1753,0.5432709707879756,0.41281404266926264,3.232444841795873,0.088235294117647,4,6.612096440953884,0.0,1,0.0294117647058823,9.782434102282334,4.0,0,0,0,0,0.0718830213269459,0
1754,0.2835169380219764,0.17494856461297784,2.41094662751904,0.0,1,5.249172965272331,0.0,0,0.0,9.77904148232364,1.0,0,0,0,0,0.0,0
1755,0.4641446658000778,0.36364013188738775,1.9003576164128004,0.0,1,4.673902717381679,0.0,0,0.0,9.741731461373256,1.0,0,0,0,0,0.0,0
1756,0.3323287795834043,0.18226099214294975,2.02747883622407,0.1111111111111111,1,4.415642643560511,0.0,0,0.0,9.735620116125022,1.0,0,0,0,0,0.0,0
1757,0.42344789500793073,0.2784408244181222,1.5781916968974787,0.0,1,3.848830989409324,0.0,1,0.0,9.712701023807979,0.0,0,0,0,0,0.0,0
1758,0.5790511346955627,0.3802241689889078,2.486198709294026,0.0,1,5.344456711978084,1.0,0,0.0769230769230769,9.674120491953015,1.0,0,0,0,0,0.0,0
1759,0.48433672211339734,0.37296770495959286,2.3289757694870814,0.0,1,5.122297617673303,0.0,1,0.0,9.671450104387441,3.0,0,0,0,0,0.0,0
1760,0.42078200310579633,0.3451045061062131,2.3289757694870814,0.0909090909090909,1,4.867557446850724,0.0,0,0.0909090909090909,9.649508322020173,2.0,0,0,0,0,0.0,0
1761,0.47072135404690896,0.2778796980316313,1.9003576164128004,0.0,1,4.156865939120399,0.0,1,0.0,9.625953048005286,0.0,0,0,0,0,0.0,0
1762,0.36863737012920855,0.19340117542616916,1.08399268904421,0.0,1,3.0532973033855715,0.0,1,0.0,9.6235828831234,0.0,0,0,0,0,0.0,0
1763,0.2877671203103157,0.35810236374537996,1.3630699522746974,0.0,1,3.6691356740459584,0.0,0,0.0,9.596865322687815,0.0,0,0,0,0,0.0,0
1764,0.35736384541689303,0.2746217324190141,2.13926381845669,0.0,1,4.604090037328765,0.0,0,0.0,9.56187860774563,3.0,0,0,0,0,0.0,1
1765,0.3965555133077058,0.3565280324318653,1.3630699522746974,0.0,1,3.4660843942710127,0.0,1,0.0,9.496684643504324,1.0,0,0,0,0,0.0,0
1766,0.27707612979705676,0.16087625622503318,2.3289757694870814,0.0,1,4.836774323849201,0.0,0,0.0909090909090909,9.471116096449807,0.0,0,0,0,0,0.0,0
1767,0.3484257285068584,0.1953719798166638,1.3630699522746974,0.0,1,4.060599244061724,1.0,0,0.0,9.440595203139699,0.0,0,0,0,0,0.0,0
1768,0.5098878669826499,0.39268040524166076,3.057751278918627,0.0,2,6.268104078891599,0.0,1,0.0416666666666666,9.434869555169056,2.0,0,0,0,0,0.0,0
1769,0.4877377059460599,0.3855975015387416,2.13926381845669,0.0,2,5.199521720558598,0.0,1,0.0,9.434869555169056,0.0,0,0,0,0,0.0,0
1770,0.5737643495751469,0.45462663976730006,2.555740116619627,0.0,1,5.456766323255098,1.0,0,0.0714285714285714,9.420395102332863,1.0,0,0,0,0,0.0,0
1771,0.33343368371190857,0.2084177134046247,1.7530900455565608,0.0,1,4.156865939120399,2.0,0,0.0,9.362173610047705,0.0,0,0,0,0,0.0,0
1772,0.5293099176479643,0.35893101660456994,2.7373359446348124,0.0588235294117647,1,6.092463422104922,1.0,0,0.0588235294117647,9.333743041275914,2.0,0,0,0,0,0.0,0
1773,0.43710384868600266,0.3739929116755479,2.41094662751904,0.0,1,5.344456711978084,0.0,1,0.0833333333333333,9.296102888295472,3.0,0,0,0,0,0.0,0
1774,0.28489696467191833,0.18966845044611427,1.5781916968974787,0.0,1,3.731340518499294,0.0,0,0.0,9.25402608268119,1.0,0,0,0,0,0.0,0
1775,0.28122012182330924,0.24631610434843532,1.9003576164128004,0.0,1,4.247743390050677,0.0,0,0.0,9.246494295107542,1.0,0,0,0,0,0.0,0
1776,0.45149594027556694,0.34440494963154006,1.3630699522746974,0.0,1,3.604355373596462,0.0,0,0.0,9.241035247135448,1.0,0,0,0,0,0.0,0
1777,0.4253760151930164,0.2908021484581154,2.13926381845669,0.0,1,5.013691544817384,0.0,0,0.1111111111111111,9.240123993604719,0.0,0,0,0,0,0.0,0
1778,0.408979785333659,0.3183849002152175,2.13926381845669,0.0,1,4.9567194461669395,0.0,0,0.0,9.223412193554363,2.0,0,0,0,0,0.0,0
1779,0.46207918032413825,0.32497656278012976,2.02747883622407,0.0,1,4.673902717381679,0.0,0,0.0,9.214844513687664,2.0,0,0,0,0,0.0,0
1780,0.4506369581397256,0.2375970960321837,2.977157523823676,0.0909090909090909,4,6.092463422104922,0.0,1,0.0454545454545454,9.179639899174388,1.0,0,0,0,0,0.0,0
1781,0.596277396959236,0.46745436188883194,3.232444841795873,0.1111111111111111,1,6.612096440953884,0.0,1,0.0222222222222222,9.149294767092979,5.0,0,0,0,0,0.0,0
1782,0.27707612979705676,0.18439157421475372,1.7530900455565608,0.0,2,4.010223684760634,0.0,1,0.0,9.089693496356274,0.0,0,0,0,0,0.0,0
