com,sim_content,sin_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,stop_word_ratio,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,is_mail,comment_duplication,classifier_val
UgzdN0gRWK-OHRm2EGd4AaABAg,0.296943846932828,0.39401490804435213,12,0.0,1,74,0,0,0.08333333333333333,20761.133333333335,1,0,0,0,0,0,0
UgygsA5xrl7oAS0HVZF4AaABAg,0.18454985468604349,0.2258059768572758,7,0.0,2,37,0,1,0.0,20517.55,0,0,0,0,0,0,0
UgyNxSwXzU1N3Dj5Qnd4AaABAg,0.2554796146141566,0.2761060485055514,9,0.0,3,56,0,1,0.2222222222222222,20300.6,0,0,0,0,0,0,0
UgwrQQZYxV2gYZgk6354AaABAg,0.13508187670850963,0.15454844434661555,12,0.0,1,62,5,0,0.0,20185.866666666665,1,1,1,0,0,0,1
Ugx46qNTEDJYQgxb2nt4AaABAg,0.347047975052395,0.36107130751195293,31,0.09677419354838712,5,184,0,1,0.0,19877.333333333332,3,0,0,0,0,0,0
Ugzl4vRX4LPA65Pxkht4AaABAg,0.1931912600633652,0.19257215792586868,7,0.0,1,40,0,0,0.0,19367.266666666666,3,0,0,0,0,0,1
UgwfNjSbfdtCttc2UOV4AaABAg,0.13684772766178652,0.17944800593562937,1,0.0,1,6,0,0,0.0,19364.616666666665,0,0,0,0,0,0,0
UgyvUsg3rbVYhLM4c494AaABAg,0.05912120775283637,0.13128266735647945,2,0.0,1,15,0,0,0.0,18744.666666666668,0,0,0,0,0,0,0
UgwhuFYxA5i-ql9cF514AaABAg,0.1512220658911095,0.29403073500595794,4,0.0,2,29,0,1,0.25,17965.433333333334,0,0,0,0,0,0,0
Ugx8_SKE59hJaZSxMPx4AaABAg,0.4172253734455768,0.48872841265024014,42,0.11904761904761907,8,239,0,1,0.11904761904761904,17954.383333333335,0,0,0,0,0,0,0
UgxxkGDdckNxa709sgl4AaABAg,0.2973246085359651,0.3184833015293257,39,0.10256410256410253,1,215,0,0,0.02564102564102564,17125.45,3,0,0,0,0,0,0
UgxAiUNp6Y2bH0rhe6p4AaABAg,0.279911579104966,0.3553932836288837,7,0.0,1,39,0,1,0.0,17099.05,0,0,0,0,0,0,0
UgzT597QirQnenCxyEJ4AaABAg,0.11868228492579636,0.13869812147413108,6,0.0,1,31,0,0,0.16666666666666666,16991.166666666668,0,0,0,0,0,0,0
Ugyo4c-yc_fkeds5qO94AaABAg,0.3144692264530271,0.383070137296733,19,0.1578947368421053,2,108,0,0,0.21052631578947367,16500.366666666665,0,0,0,0,0,0,0
UgyYssrlMwy84afyTg94AaABAg,0.2057210213274926,0.1962082977939915,8,0.0,1,43,1,0,0.125,16127.816666666668,0,0,0,0,0,0,0
UgxeyDi3BvnpbqtgY-h4AaABAg,0.20864803930729453,0.20217512921902717,16,0.0,1,91,1,0,0.0625,16085.016666666666,0,0,0,0,0,0,0
Ugy185g7wM45GaF9Mc94AaABAg,0.12992845685781967,0.14168357880479696,9,0.11111111111111116,3,56,0,0,0.1111111111111111,14294.216666666667,0,0,0,0,0,0,0
UgyAJ26im-XXhMAXtzp4AaABAg,0.45306650658767383,0.5101937689848505,43,0.046511627906976716,4,239,0,1,0.0,13306.2,2,0,0,0,0,0,0
Ugxxfv270859P7-pGYZ4AaABAg,0.35305598003055205,0.3867414492363129,22,0.09090909090909094,1,126,0,0,0.045454545454545456,13275.616666666667,1,0,0,0,0,0,0
