,sim_content,sim_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,comment_duplication,is_spam
6188,0.1680446340092067,0.19551383336655734,1.011389276208988,0.0,1,3.091042453358316,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6189,0.2677253751357337,0.2857647009256253,1.426888666448961,0.0,1,3.5553480614894135,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6190,0.24617421552662044,0.26141493714200026,2.2178666593921377,0.0,1,4.343805421853684,0.0,1,37.516380508096994,0.0,0,0,0,0.0,0
6191,0.21824517023497703,0.30008508413152046,1.7815818553180407,0.0,1,3.912023005428146,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6192,0.09255934356316009,0.14613339864849098,1.2493667550944338,0.0,1,3.295836866004329,0.0,1,37.516380508096994,0.0,0,0,0,0.0,0
6193,0.2939402598228702,0.2525836936764101,2.7265371685426687,0.1470588235294118,3,5.108366782589594,0.0,1,37.516380508096994,0.0294117647058823,0,0,0,0.0,0
6194,0.22370809309421436,0.27843332424509337,2.336766292357613,0.0,1,4.804021044733257,3.0,1,37.516380508096994,0.0,0,0,0,0.0,0
6195,0.4264817396266456,0.459221502768938,2.8478832172455744,0.1647058823529411,3,5.108366782589594,0.0,1,37.516380508096994,0.0470588235294117,0,0,0,0.0,0
6196,0.11274019885643616,0.12827186198392074,1.011389276208988,0.0,1,2.5649493574615367,1.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6197,0.30830407232125284,0.3372283513601292,2.371394013994283,0.0,2,4.795790545596741,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6198,0.2589906528715661,0.29812623395629617,2.2178666593921377,0.0,2,4.418840607796598,0.0,0,37.516380508096994,0.0666666666666666,0,0,0,0.0,0
6199,0.29675598347845444,0.24088565629016165,1.567510066475342,0.0,1,3.4657359027997265,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6200,0.05895981391780482,0.10919960073874069,1.567510066475342,0.5,1,3.6635616461296463,0.0,1,37.516380508096994,0.0,0,0,0,0.0,0
6201,0.060104691313954316,0.13350055651319478,1.011389276208988,0.0,1,2.833213344056216,0.0,1,37.516380508096994,0.0,0,0,0,0.0,0
6202,0.1517679382841132,0.24992779607404805,2.067766531677414,0.0833333333333333,1,4.143134726391533,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6203,0.1845219227442811,0.26113538840387024,1.7815818553180407,0.0,3,3.8918202981106265,0.0,1,37.516380508096994,0.0,0,0,0,0.0,0
6204,0.2764277106894472,0.3443666260447546,2.58961306307408,0.037037037037037,2,4.976733742420574,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6205,0.045074063772245085,0.04617410167858574,1.2493667550944338,0.0,1,3.4965075614664802,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6206,0.2158918984437044,0.2243318442645483,1.2493667550944338,0.0,1,3.4011973816621555,0.0,0,37.516380508096994,0.0,0,0,0,0.0,0
6207,0.12430200216539129,0.1512626124846017,1.2493667550944338,0.0,1,3.091042453358316,0.0,1,37.516380508096994,0.0,0,0,0,0.0,0
6208,0.2459235792597502,0.24130431772734814,2.6909938581835635,0.09375,3,5.108366782589594,6.0,0,37.516380508096994,0.03125,1,0,0,0.0,0
6209,0.18559373376391541,0.19179061747654697,1.7815818553180407,0.0,1,3.7612001156935624,0.0,0,37.516380508096994,0.125,0,0,0,0.0,0
6210,0.2971922228858864,0.33613785735047597,2.2603340426576115,0.0,1,4.653960350157523,0.0,0,37.516380508096994,0.0625,0,0,0,0.0,0
