cid,sim_content,sim_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,comment_duplication,is_spam
Ugzh1sZa0_fSHF5IeKh4AaABAg,0.04869148805831552,0.34764619662749763,3,0.0,1,10,0,0,358336.0,0.0,0,0,0,0,0
UgxeAtAkQ8eq7DxTRyB4AaABAg,0.10512165227249494,0.13909250686282587,6,0.0,1,29,0,0,356010.0,0.3333333333333333,0,0,0,0,0
UgznMZMkqJdKmrioH154AaABAg,0.2828478003983474,0.3002652134445323,17,0.0,1,87,3,0,355370.0,0.17647058823529413,0,0,0,0,1
UgxGnVfXcNBJZFilNJt4AaABAg,0.17133922322185532,0.1556822115419834,4,0.0,1,22,0,0,342196.0,0.0,0,0,0,0,0
UgytC_9NBxopRJxOp7x4AaABAg,0.10542884113492756,0.14424647491047854,4,0.0,1,21,0,0,338716.0,0.0,0,0,0,0,0
UgzI9S-1ehMdSMjQZs14AaABAg,0.34811969740198995,0.3491379341565203,55,0.10909090909090913,6,303,0,0,336525.0,0.0,0,0,0,0,0
Ugyw_cpJ4c7lfl1mVpR4AaABAg,0.11619729363745347,0.15475998801642504,7,0.0,1,32,0,0,335336.0,0.0,0,0,0,0,0
UgyKKOHWpjC4gbjv_cV4AaABAg,0.23815677778479988,0.3315965446781351,8,0.0,1,38,0,0,325206.0,0.0,0,0,0,0,0
UgxtLM9a1-J1qoBO9AR4AaABAg,0.1495937334363295,0.17044220675433566,7,0.0,1,40,0,0,324999.0,0.0,0,0,0,0,0
UgwDbsRcnM5oAXytXg94AaABAg,0.18074842875479863,0.17106528970889823,8,0.0,1,50,0,1,320965.0,0.0,0,0,0,0,0
Ugx61fylG4eDrkgAIl54AaABAg,0.2770731966550346,0.2950655344369645,8,0.0,1,41,0,0,316304.0,0.25,0,0,0,0,0
UgyoUAHPQ3ZJIgQBb9l4AaABAg,0.314411608907412,0.36027376063183375,46,0.10869565217391308,3,266,5,0,313056.0,0.06521739130434782,1,1,0,0,0
UgxYadiHyeOzY6OTgm94AaABAg,0.08040859383140869,0.0920109706486997,4,0.0,1,20,0,0,280210.0,0.25,0,0,0,0,0
Ugx03wnKlZhr6V0TSXd4AaABAg,0.4339909943460163,0.39476410630670206,60,0.16666666666666663,2,334,4,1,280004.0,0.0,0,0,0,0,0
UgxKFeZC8erl8CtHwbR4AaABAg,0.10886001594751639,0.12258706056232645,5,0.0,1,21,0,0,271536.0,0.0,0,0,0,0.0,0
UgxjT_EsVsVvjEW7jCx4AaABAg,0.19166424632383525,0.14537563340899307,5,0.0,1,24,0,0,271262.0,0.0,0,0,0,0.0,0
UgybBJNeRSbsFAx0X994AaABAg,0.3221193095928133,0.27628120342836504,14,0.0714285714285714,3,90,1,0,270610.0,0.0,0,0,0,0,0
Ugw3I5OzMWGoylxhyBZ4AaABAg,0.16337836659818908,0.2710574245640498,6,0.0,1,34,0,0,270202.0,0.5,0,0,0,1.0000000000000002,1
UgwL0Ks0kW7-H48txLd4AaABAg,0.16337836659818908,0.2710574245640498,6,0.0,1,34,0,0,270196.0,0.5,0,0,0,1.0000000000000002,1
Ugwx4dHLKqtU2PzENKB4AaABAg,0.27836748797238337,0.3505788258003796,18,0.05555555555555558,1,84,0,0,266087.0,0.05555555555555555,0,0,0,0,0
UgyZ4Ud4ViUdjkF2WCJ4AaABAg,0.20712923004750325,0.234154397548964,7,0.0,1,32,0,0,261958.0,0.14285714285714285,0,0,0,0,0
UgxbjEFhLxq4co3tFud4AaABAg,0.21910550566807768,0.3105325691286053,9,0.0,1,56,0,1,259862.0,0.3333333333333333,0,0,0,0,1
UgxZdxIK5_tPwf498o94AaABAg,0.08495297591184164,0.10313577719294093,11,0.0,1,68,5,0,256714.0,0.09090909090909091,1,1,0,0,1
Ugx7YoWd9H8L9_XnYwF4AaABAg,0.04437675145574446,0.06769107942289655,9,0.0,1,54,4,0,252132.0,0.0,1,1,0,0,1
Ugw3DRg8IuILl8ARSkV4AaABAg,0.07032808136630687,0.08214986323209775,3,0.0,1,14,0,0,248784.0,0.0,0,0,0,0,0
UgxGoepXqAaZyJ1AqGZ4AaABAg,0.3396519013489038,0.3264741054360683,166,0.4036144578313253,10,851,14,0,239848.0,0.018072289156626505,0,0,0,0,0
UgzV8VZm40v-TBxrDgN4AaABAg,0.23844655675801643,0.31040513471415276,8,0.0,1,47,0,1,238894.0,0.0,0,0,0,0,0
UgwNa8MC7t9ADTiN55N4AaABAg,0.3345663775695614,0.29979779847007687,6,0.0,1,39,1,0,231203.0,0.0,0,0,0,0,0
UgwRKVlY4aGY5UuTUoh4AaABAg,0.112700060955492,0.1143114115762273,5,0.0,1,20,0,0,230950.0,0.2,0,0,0,0,0
UgxutXPlNtequvymRYV4AaABAg,0.25578427434374545,0.20025295536330626,8,0.0,1,47,0,0,230349.0,0.125,0,0,0,0,0
UgzfsGDyc3qJBwd87n14AaABAg,0.15235205777760197,0.19847326522757097,7,0.0,1,34,0,1,229042.0,0.0,0,0,0,0,0
Ugw-fIGtJJmSM1iftbl4AaABAg,0.19289739323660965,0.21286068607008823,8,0.0,1,45,0,0,228105.0,0.0,0,0,0,0,0
Ugxtmz3OgpBSBFAU45V4AaABAg,0.12630413575343163,0.18284522830292654,3,0.0,1,21,0,0,221817.0,0.0,0,0,0,0,0
UgypOZn1h-y91VbD5ep4AaABAg,0.15765262402764885,0.12540018372074246,5,0.0,1,34,0,0,220119.0,0.0,0,0,0,0,0
Ugz-YBWBUworSJzY0794AaABAg,0.2796176134451048,0.32852268181626926,11,0.0,1,59,0,0,195800.0,0.18181818181818182,0,0,0,0,0
UgxVQ-Wp7q5Vfrq9odp4AaABAg,0.0923549686141602,0.36276907355671456,30,0.5333333333333333,9,138,4,1,195403.0,0.0,0,0,0,0,0
UgyetXCnqJ9sh7wTNMl4AaABAg,0.2617066702750851,0.4019802830012732,16,0.0625,1,92,0,0,192848.0,0.0,0,0,0,0,0
