,sim_content,sim_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,stop_word_ratio,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,comment_duplication,is_spam
2523,0.14627121479760805,0.1252659216326682,1.1085789987452332,0.0,1,2.9430328253499867,0.0,0,0.0,18.607911833966135,0.2,0,0,0,0.0,0
2524,0.2667397281442776,0.276755453903991,2.3466577161473308,0.0999999999999999,2,4.303391838858474,4.0,0,0.0,18.534890687340475,0.0,0,0,0,0.0,0
2525,0.04378335074267398,0.21212237214164237,0.6971058376408336,0.0,1,2.0288705131192373,0.0,0,0.0,18.2889270535147,0.0,0,0,0,0.0,0
2526,0.16817647947207576,0.28674530182509395,2.1153417908389196,0.0,1,3.9035597690378463,0.0,0,0.0,17.991394417470328,0.0,0,0,0,0.0,0
2527,0.004998439487874236,0.153574378396903,1.1085789987452332,0.0,1,2.4193440653730707,0.0,0,0.0,17.7115352246309,0.0,0,0,0,1.0,1
2528,0.004998439487874236,0.153574378396903,1.1085789987452332,0.0,1,2.4193440653730707,0.0,0,0.0,17.701874728400153,0.0,0,0,0,1.0,1
2529,0.1506426359819636,0.12779639903659326,3.170811630596766,0.1333333333333333,4,5.075899014590449,0.0,1,0.0,34.11230972584959,0.0,0,0,0,0.0,0
2530,0.18643556941337316,0.1742756902059981,2.6197168412866163,0.0,3,4.7873850251593355,0.0,0,0.0,17.540249445962502,0.0,0,0,0,0.0,0
2531,0.28087707726252886,0.25661760062650985,2.536286616069805,0.0833333333333333,1,4.512321320371369,0.0,0,0.0,17.430398571462,0.0,0,0,0,0.0,0
2532,0.20282593869006293,0.17869085674542645,2.1153417908389196,0.0,1,4.079404193153372,0.0,1,0.0,17.31870367879689,0.2,0,0,0,0.0,0
2533,0.3044700973089397,0.2261539719057883,1.6308880393276821,0.0,1,3.2508522544790663,0.0,1,0.0,17.31398284325114,0.2,0,0,0,0.0,0
2534,0.2522751497420975,0.15546313186525376,1.4021893358755269,0.0,1,3.0113491174953233,1.0,0,0.0,17.24851101298875,0.0,0,0,0,0.0,0
2535,0.04378335074267398,0.21212237214164237,0.6971058376408336,0.0,1,2.0288705131192373,0.0,0,0.0,17.132262887339717,0.0,0,0,0,0.0,0
2536,0.15218852006341346,0.09215051639441038,2.2373328983934306,0.0,1,3.9035597690378463,0.0,0,0.1666666666666666,17.113697452724015,0.1111111111111111,0,0,0,0.0,0
2537,0.1481948752573885,0.13443751052811154,1.9773246747041262,0.0,1,3.7704418143367757,0.0,0,0.0,16.978730499687565,0.0,0,0,0,0.0,0
2538,0.15261946321940076,0.1792555820643554,2.4457170720814885,0.0,1,4.724072143827095,0.0,0,0.1666666666666666,16.951702830524585,0.0,0,0,0,0.0,0
2539,0.2627925535327123,0.17507533671561964,2.4457170720814885,0.0,1,4.47325349380027,0.0,1,0.0,19.707655540094787,0.0,0,0,0,0.0,0
2540,0.33709367623048714,0.23332820659640516,3.4250298715353016,0.0714285714285714,4,5.569182967433134,0.0,1,0.0714285714285714,16.906901868977133,0.0,0,0,0,0.0,0
2541,0.23787134353545097,0.1920556702228206,1.8183713848496408,0.0,1,3.9035597690378463,0.0,0,0.0,16.833099088947233,0.1666666666666666,0,0,0,0.0,1
2542,0.25763223951455533,0.217669864070922,2.3466577161473308,0.0,2,4.280422156407162,0.0,0,0.1,16.742291482161157,0.2,0,0,0,0.0,0
2543,0.12671845473834994,0.12024468985039444,2.1153417908389196,0.0,2,3.8388224481779165,3.0,0,0.0,16.74024987670882,0.0,0,0,0,0.0,0
2544,0.10035221692396377,0.14502256376900616,2.1153417908389196,0.0,1,3.8388224481779165,0.0,0,0.0,16.73139081186861,0.0,0,0,0,0.0,0
2545,0.34052581547290006,0.27153003997990754,2.769147380758919,0.1333333333333333,1,4.7077321604027675,0.0,0,0.1333333333333333,16.58689350517771,0.0666666666666666,0,0,0,0.0,0
2546,0.15545792503857866,0.09820288772165997,1.4021893358755269,0.0,1,3.19536057984204,0.0,0,0.0,16.529884310677364,0.2,0,0,0,0.0,0
2547,0.2503488768669995,0.1607737326559731,1.6308880393276821,0.0,1,3.495124110168834,0.0,0,0.0,16.49672764416283,0.0,0,0,0,0.0,0
2548,0.4193423258055962,0.3064883131003165,2.769147380758919,0.0666666666666666,1,4.876753295820458,0.0,0,0.1666666666666666,16.39480720612531,0.0,0,0,0,0.0,0
2549,0.31396013645528065,0.1931232992881382,2.769147380758919,0.0,3,5.051086256697105,0.0,1,0.0,16.388116084403663,0.2,0,0,0,0.0,1
2550,0.09930690248616814,0.0896752551552174,1.4021893358755269,0.0,1,3.0759212818619828,0.0,0,0.1666666666666666,16.34246186783595,0.0,0,0,0,0.0,0
2551,0.33032950184753507,0.2224385848226036,2.3466577161473308,0.0,1,4.257017167114807,0.0,0,0.0,16.280240012435087,0.2,0,0,0,0.0,0
2552,0.45260722614433974,0.35086182017438,3.217594323136272,0.0434782608695651,3,5.215397461636514,0.0,1,0.0,16.224001324819298,0.1304347826086956,0,0,0,0.0,0
2553,0.340714620344432,0.28118741727528956,3.3054403695579855,0.12,4,5.6812338283781,0.0,1,0.04,16.172447475028015,0.2,0,0,0,0.052829559332321,1
2554,0.2279384485187288,0.1985339372632983,1.9773246747041262,0.0,1,3.994641585010563,0.0,0,0.0,16.13134253492119,0.0,0,0,0,0.0,0
2555,0.18718816083241765,0.13840403849953387,2.3466577161473308,0.0,1,4.106403562544024,0.0,1,0.0,16.128957773465103,0.1,0,0,0,0.0,0
2556,0.3181920429178776,0.21651152575396013,2.1153417908389196,0.0,1,4.106403562544024,0.0,1,0.0,16.12259123792173,0.0,0,0,0,0.0,0
2557,0.19225647987278727,0.15135772718065826,2.4457170720814885,0.0909090909090909,1,4.453249604113276,0.0,0,0.0,15.903022807954615,0.0909090909090909,0,0,0,0.0,0
2558,0.20989033204877627,0.17868885807704096,1.8183713848496408,0.0,1,3.7704418143367757,0.0,0,0.0,15.787488272532915,0.0,0,0,0,0.0,0
2559,0.06259839595948126,0.25881370075288046,0.6971058376408336,0.0,1,1.861940674244647,0.0,0,0.0,15.632328046758948,0.0,0,0,0,0.0,0
2560,0.4813452313070856,0.3402959168726665,3.5662239914003644,0.1333333333333333,3,5.94164187598733,6.0,1,0.0545454545454545,15.425905367850541,0.0909090909090909,0,0,0,0.0,0
